country_iso,from,to,gdp_deflator
abw,1986,1987,1.0360069747166525
abw,1987,1988,1.0309227956631828
abw,1988,1989,1.039678169522331
abw,1989,1990,1.0581573798283632
abw,1990,1991,1.0561212677996816
abw,1991,1992,1.0379257496716388
abw,1992,1993,1.052965236431537
abw,1993,1994,1.063031476601714
abw,1994,1995,1.0337063733755787
abw,1995,1996,1.0328021254314117
abw,1996,1997,1.037055882646728
abw,1997,1998,1.065691472486329
abw,1998,1999,1.0219987800429124
abw,1999,2000,1.0104827145641269
abw,2000,2001,1.0562905761024783
abw,2001,2002,1.0452747530572135
abw,2002,2003,1.020981114684233
abw,2003,2004,1.0217096351292143
abw,2004,2005,1.033327948228464
abw,2005,2006,1.0294529462259445
abw,2006,2007,1.0594980691629423
abw,2007,2008,1.0507287845079243
abw,2008,2009,1.0172707333316875
abw,2009,2010,0.9932294582740674
abw,2010,2011,1.0310730064897438
abw,2011,2012,1.0078908608433148
abw,2012,2013,1.0328668557567364
abw,2013,2014,1.020034804687199
abw,2014,2015,1.0043992399311845
abw,2015,2016,0.9862851499595008
abw,2016,2017,1.0161405154661192
afg,2002,2003,1.11655238211175
afg,2003,2004,1.112714320712639
afg,2004,2005,1.109127735539374
afg,2005,2006,1.0719975128908026
afg,2006,2007,1.225277561997899
afg,2007,2008,1.0209628874882868
afg,2008,2009,0.9783659557216995
afg,2009,2010,1.0381463031709113
afg,2010,2011,1.165933467311629
afg,2011,2012,1.0730175647136595
afg,2012,2013,1.048227854793165
afg,2013,2014,1.0056694454081654
afg,2014,2015,1.0244756300204636
afg,2015,2016,0.9780247353409396
afg,2016,2017,1.0240365618844285
afg,2017,2018,1.0207134857890898
afg,2018,2019,1.0652147984507825
afg,2019,2020,1.0782166712677619
ago,1980,1981,0.9789969383491662
ago,1981,1982,1
ago,1982,1983,1.0001276355959845
ago,1983,1984,1.0000118811155772
ago,1984,1985,1.190352057383646
ago,1985,1986,0.9098693807953828
ago,1986,1987,1.0982331135214172
ago,1987,1988,1.0221377444879207
ago,1988,1989,1.162796626876656
ago,1989,1990,1.140074398234429
ago,1990,1991,2.06309982271022
ago,1991,1992,5.7651575086326
ago,1992,1993,10.17783468411763
ago,1993,1994,22.759789550875897
ago,1994,1995,19.2549514900731
ago,1995,1996,49.005316441574394
ago,1996,1997,1.9545302217911291
ago,1997,1998,1.393593483252693
ago,1998,1999,6.5750111309121495
ago,1999,2000,5.18018991534099
ago,2000,2001,2.0635212550145097
ago,2001,2002,2.9698410524691
ago,2002,2003,1.939268544397287
ago,2003,2004,1.3344017864870819
ago,2004,2005,1.423755606018204
ago,2005,2006,1.171180976102743
ago,2006,2007,1.0430841552965402
ago,2007,2008,1.193699205957861
ago,2008,2009,0.832389179488251
ago,2009,2010,1.322634423201135
ago,2010,2011,1.3177154918825549
ago,2011,2012,1.0725567045324638
ago,2012,2013,1.0283978907143596
ago,2013,2014,1.0356082079817712
ago,2014,2015,0.9648161361245049
ago,2015,2016,1.217742400179127
ago,2016,2017,1.2261451153195009
ago,2017,2018,1.290659544893525
ago,2018,2019,1.280906771592866
ago,2019,2020,1.0938522144491398
alb,1980,1981,0.9786042801407216
alb,1981,1982,0.999822809000112
alb,1982,1983,0.9998324482848545
alb,1983,1984,0.9997163974300459
alb,1984,1985,1.003512223473216
alb,1985,1986,0.9758269957143295
alb,1986,1987,0.9999969390716543
alb,1987,1988,0.9999942141987438
alb,1988,1989,1.0000367916143216
alb,1989,1990,0.9956863118690111
alb,1990,1991,1.35514246957839
alb,1991,1992,3.32984658871868
alb,1992,1993,2.2565081420042397
alb,1993,1994,1.358424752156678
alb,1994,1995,1.0997066268022502
alb,1995,1996,1.381720581904406
alb,1996,1997,1.112396444889093
alb,1997,1998,1.0673085989716518
alb,1998,1999,1.021028499878009
alb,1999,2000,1.0564747147491496
alb,2000,2001,1.0381085736921132
alb,2001,2002,1.036474762737475
alb,2002,2003,1.0519863530390563
alb,2003,2004,1.031523689263096
alb,2004,2005,1.0330681815262164
alb,2005,2006,1.0247818888484455
alb,2006,2007,1.0438670937874643
alb,2007,2008,1.0411708542761993
alb,2008,2009,1.0241833605658384
alb,2009,2010,1.044931432025026
alb,2010,2011,1.0231474379699794
alb,2011,2012,1.010427146059646
alb,2012,2013,1.0028874596446513
alb,2013,2014,1.0154991706750105
alb,2014,2015,1.0056399135362855
alb,2015,2016,0.9936734658070239
alb,2016,2017,1.0145106269946422
alb,2017,2018,1.014730581020984
alb,2018,2019,1.012210094763308
alb,2019,2020,0.9955235094725459
and,1970,1971,1.0784587099216796
and,1971,1972,1.0851807771267006
and,1972,1973,1.118494338564743
and,1973,1974,1.159452012974299
and,1974,1975,1.167817954081357
and,1975,1976,1.1648985721172491
and,1976,1977,1.233830925590875
and,1977,1978,1.206310414050793
and,1978,1979,1.169316890729089
and,1979,1980,1.133548138463661
and,1980,1981,1.123511732158072
and,1981,1982,1.135823498290083
and,1982,1983,1.11884235250551
