from,to,conversion_factor
1962,1963,1.0308181545335249
1963,1963,1
1964,1963,1.0337730602635162
1965,1963,1.0411819839229877
1966,1963,1.0531612878174972
1967,1963,1.035369902651399
1968,1963,1.0397861172269183
1969,1963,1.0364231257188623
1970,1963,1.0501980031254567
1971,1963,1.0546429532229757
1972,1963,1.0587529859015727
1973,1963,1.0916848035810458
1974,1963,1.154043911129286
1975,1963,1.124720336828216
1976,1963,1.0969145386326704
1977,1963,1.1035383186462282
1978,1963,1.0862361818879926
1979,1963,1.101042240936484
1980,1963,1.1373631275845262
1981,1963,1.1284491271429455
1982,1963,1.1037922131698876
1983,1963,1.0937208721296852
1984,1963,1.0903986972855368
1985,1963,1.0867647174527224
1986,1963,1.0649634433157162
1987,1963,1.0697721238464266
1988,1963,1.099683825125001
1989,1963,1.146370358673259
1990,1963,1.2328597005478954
1991,1963,1.1103742379883184
1992,1963,1.1096042804578876
1993,1963,1.2079032999295152
1994,1963,1.2389418272963342
1995,1963,1.0915131196761574
1996,1963,1.0650805277611939
1997,1963,1.0472283034294643
1998,1963,1.043937957390063
1999,1963,1.0341815277985629
2000,1963,1.0368453746401993
2001,1963,1.0379265443088241
2002,1963,1.0295377225964293
2003,1963,1.0310040888613647
2004,1963,1.0317398714758126
2005,1963,1.03634617017485
2006,1963,1.037798037663388
2007,1963,1.0407167690394892
2008,1963,1.0694505280081967
2009,1963,1.0232687670545302
2010,1963,1.0299212821626715
2011,1963,1.0449698305485993
2012,1963,1.0348341045519274
2013,1963,1.027433551887506
2014,1963,1.0228164387639684
2015,1963,1.015080896769836
2016,1963,1.0156897575492994
2017,1963,1.0241149869140294
1962,1964,1.0337730602635162
1963,1964,1.0337730602635162
1964,1964,1
1965,1964,1.0411819839229877
1966,1964,1.0531612878174972
1967,1964,1.035369902651399
1968,1964,1.0397861172269183
1969,1964,1.0364231257188623
1970,1964,1.0501980031254567
1971,1964,1.0546429532229757
1972,1964,1.0587529859015727
1973,1964,1.0916848035810458
1974,1964,1.154043911129286
1975,1964,1.124720336828216
1976,1964,1.0969145386326704
1977,1964,1.1035383186462282
1978,1964,1.0862361818879926
1979,1964,1.101042240936484
1980,1964,1.1373631275845262
1981,1964,1.1284491271429455
1982,1964,1.1037922131698876
1983,1964,1.0937208721296852
1984,1964,1.0903986972855368
1985,1964,1.0867647174527224
1986,1964,1.0649634433157162
1987,1964,1.0697721238464266
1988,1964,1.099683825125001
1989,1964,1.146370358673259
1990,1964,1.2328597005478954
1991,1964,1.1103742379883184
1992,1964,1.1096042804578876
1993,1964,1.2079032999295152
1994,1964,1.2389418272963342
1995,1964,1.0915131196761574
1996,1964,1.0650805277611939
1997,1964,1.0472283034294643
1998,1964,1.043937957390063
1999,1964,1.0341815277985629
2000,1964,1.0368453746401993
2001,1964,1.0379265443088241
2002,1964,1.0295377225964293
2003,1964,1.0310040888613647
2004,1964,1.0317398714758126
2005,1964,1.03634617017485
2006,1964,1.037798037663388
2007,1964,1.0407167690394892
2008,1964,1.0694505280081967
2009,1964,1.0232687670545302
2010,1964,1.0299212821626715
2011,1964,1.0449698305485993
2012,1964,1.0348341045519274
2013,1964,1.027433551887506
2014,1964,1.0228164387639684
2015,1964,1.015080896769836
2016,1964,1.0156897575492994
2017,1964,1.0241149869140294
1962,1965,1.0411819839229877
1963,1965,1.0411819839229877
1964,1965,1.0411819839229877
1965,1965,1
1966,1965,1.0531612878174972
1967,1965,1.035369902651399
1968,1965,1.0397861172269183
1969,1965,1.0364231257188623
1970,1965,1.0501980031254567
1971,1965,1.0546429532229757
1972,1965,1.0587529859015727
1973,1965,1.0916848035810458
1974,1965,1.154043911129286
1975,1965,1.124720336828216
1976,1965,1.0969145386326704
1977,1965,1.1035383186462282
1978,1965,1.0862361818879926
1979,1965,1.101042240936484
1980,1965,1.1373631275845262
1981,1965,1.1284491271429455
1982,1965,1.1037922131698876
1983,1965,1.0937208721296852
1984,1965,1.0903986972855368
1985,1965,1.0867647174527224
1986,1965,1.0649634433157162
1987,1965,1.0697721238464266
1988,1965,1.099683825125001
1989,1965,1.146370358673259
1990,1965,1.2328597005478954
1991,1965,1.1103742379883184
1992,1965,1.1096042804578876
1993,1965,1.2079032999295152
1994,1965,1.2389418272963342
1995,1965,1.0915131196761574
1996,1965,1.0650805277611939
1997,1965,1.0472283034294643
1998,1965,1.043937957390063
1999,1965,1.0341815277985629
2000,1965,1.0368453746401993
2001,1965,1.0379265443088241
2002,1965,1.0295377225964293
2003,1965,1.0310040888613647
2004,1965,1.0317398714758126
2005,1965,1.03634617017485
2006,1965,1.037798037663388
2007,1965,1.0407167690394892
2008,1965,1.0694505280081967
2009,1965,1.0232687670545302
2010,1965,1.0299212821626715
2011,1965,1.0449698305485993
2012,1965,1.0348341045519274
2013,1965,1.027433551887506
2014,1965,1.0228164387639684
2015,1965,1.015080896769836
2016,1965,1.0156897575492994
2017,1965,1.0241149869140294
1962,1966,1.0531612878174972
1963,1966,1.0531612878174972
1964,1966,1.0531612878174972
1965,1966,1.0531612878174972
1966,1966,1
1967,1966,1.035369902651399
1968,1966,1.0397861172269183
1969,1966,1.0364231257188623
1970,1966,1.0501980031254567
1971,1966,1.0546429532229757
1972,1966,1.0587529859015727
1973,1966,1.0916848035810458
1974,1966,1.154043911129286
1975,1966,1.124720336828216
1976,1966,1.0969145386326704
1977,1966,1.1035383186462282
1978,1966,1.0862361818879926
1979,1966,1.101042240936484
1980,1966,1.1373631275845262
1981,1966,1.1284491271429455
1982,1966,1.1037922131698876
1983,1966,1.0937208721296852
1984,1966,1.0903986972855368
1985,1966,1.0867647174527224
1986,1966,1.0649634433157162
1987,1966,1.0697721238464266
1988,1966,1.099683825125001
1989,1966,1.146370358673259
1990,1966,1.2328597005478954
1991,1966,1.1103742379883184
1992,1966,1.1096042804578876
1993,1966,1.2079032999295152
1994,1966,1.2389418272963342
1995,1966,1.0915131196761574
1996,1966,1.0650805277611939
1997,1966,1.0472283034294643
1998,1966,1.043937957390063
1999,1966,1.0341815277985629
2000,1966,1.0368453746401993
2001,1966,1.0379265443088241
2002,1966,1.0295377225964293
2003,1966,1.0310040888613647
2004,1966,1.0317398714758126
2005,1966,1.03634617017485
2006,1966,1.037798037663388
2007,1966,1.0407167690394892
2008,1966,1.0694505280081967
2009,1966,1.0232687670545302
2010,1966,1.0299212821626715
2011,1966,1.0449698305485993
